ISSN,Journal_Name,Publisher,JIF,Quartile
0001-5733,CHINESE JOURNAL OF GEOPHYSICS-CHINESE E,SCIENCE PRESS,1.4,Q3
0001-5792,ACTA HAEMATOLOGICA,KARGER,1.1,Q4
0001-5903,ACTA INFORMATICA,SPRINGER,0.5,Q4
0001-5962,ACTA MATHEMATICA,"INT PRESS BOSTON, IN",6.7,Q1
0001-5970,ACTA MECHANICA,SPRINGER WIEN,2.9,Q2
0001-6241,ACTA MUSICOLOGICA,INT MUSICOLOGICAL S,0.5,
0001-6268,ACTA NEUROCHIRURGICA,SPRINGER WIEN,1.9,Q2
0001-6314,ACTA NEUROLOGICA SCANDINAVICA,WILEY,2.7,Q2
0001-6322,ACTA NEUROPATHOLOGICA,SPRINGER,9.3,Q1
0001-6349,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDI,WILEY,3.1,Q1
0001-6357,ACTA ODONTOLOGICA SCANDINAVICA,Medical Journal Swede,1.9,Q2
0001-6454,ACTA ORNITHOLOGICA,MUSEUM & INST ZOOL,1.3,Q2
0001-6462,Acta Orthopaedica Belgica,ACTA MEDICA BELGICA,0.6,Q4
0001-6489,ACTA OTO-LARYNGOLOGICA,TAYLOR & FRANCIS LTD,1,Q3
0001-6519,Acta Otorrinolaringologica Espanola,ELSEVIER ESPANA SLU,1.1,Q3
0001-6810,Acta Politica,PALGRAVE MACMILLAN,1.9,Q2
0001-6829,ACTA POLONIAE HISTORICA,INST HISTORY- PAN,<0.1,Q4
0001-6837,ACTA POLONIAE PHARMACEUTICA,POLSKIE TOWARZYSTW,0.4,Q4
0001-6896,ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERI,FUNDACION ACTA,<0.1,Q4
0001-690X,ACTA PSYCHIATRICA SCANDINAVICA,WILEY,5,Q1
0001-6918,ACTA PSYCHOLOGICA,ELSEVIER,2.7,Q2
0001-6969,ACTA SCIENTIARUM MATHEMATICARUM,SPRINGER BIRKHAUSER,0.6,Q3
0001-6993,ACTA SOCIOLOGICA,SAGE PUBLICATIONS LT,1.4,Q2
0001-7019,Acta Stomatologica Croatica,"UNIV ZAGREB, SCH DEN",1.8,Q3
0001-706X,ACTA TROPICA,ELSEVIER,2.5,Q1
0001-7272,ACTA ZOOLOGICA,WILEY,1.3,Q2
0001-7310,Actas Dermo-Sifiliograficas,ELSEVIER ESPANA,2.8,Q2
0001-7701,GENERAL RELATIVITY AND GRAVITATION,SPRINGER/PLENUM PU,2.8,Q2
0001-8244,BEHAVIOR GENETICS,SPRINGER,2.2,Q2
0001-8325,Administration,SCIENDO,0.2,Q4
0001-8392,ADMINISTRATIVE SCIENCE QUARTERLY,SAGE PUBLICATIONS IN,6.5,Q1
0001-8678,ADVANCES IN APPLIED PROBABILITY,CAMBRIDGE UNIV PRES,1.2,Q2
0001-8686,ADVANCES IN COLLOID AND INTERFACE SCIEN,ELSEVIER,19.3,Q1
0001-8708,ADVANCES IN MATHEMATICS,ACADEMIC PRESS INC E,1.5,Q1
0001-8732,ADVANCES IN PHYSICS,TAYLOR & FRANCIS LTD,13.8,Q1
0001-8791,JOURNAL OF VOCATIONAL BEHAVIOR,ACADEMIC PRESS INC E,5.2,Q1
0001-9240,AERONAUTICAL JOURNAL,CAMBRIDGE UNIV PRES,1.6,Q2
0001-9593,AEVUM-RASSEGNA DI SCIENZE STORICHE LING,VITA PENSIERO,0.1,
0001-9704,AFINIDAD,Assoc Antics Alumnes I,0.1,Q4
0001-9720,AFRICA,CAMBRIDGE UNIV PRES,1.1,Q1
0001-9909,AFRICAN AFFAIRS,OXFORD UNIV PRESS,2.2,Q1
0001-9933,AFRICAN ARTS,MIT PRESS,0.4,
0002-0184,AFRICAN STUDIES,ROUTLEDGE JOURNALS,0.9,Q2
0002-0397,Africa Spectrum,SAGE PUBLICATIONS IN,2.2,Q1
0002-0443,JOURNAL OF NURSING ADMINISTRATION,LIPPINCOTT WILLIAMS,1.9,Q2
0002-0729,AGE AND AGEING,OXFORD UNIV PRESS,7.1,Q1
0002-0796,AGENDA,AGENDA MAGAZINE ED,,
0002-1466,Agricultural Finance Review,EMERALD GROUP PUBL,1.9,Q2
0002-1482,AGRICULTURAL HISTORY,DUKE UNIV PRESS,0.5,Q1
0002-1490,AGRICULTURAL HISTORY REVIEW,BRITISH AGRICULTURA,0.5,Q1
0002-1857,AGROCHIMICA,PISA UNIV PRESS,0.5,Q4
0002-3957,AKZENTE-ZEITSCHRIFT FUR LITERATUR,CARL HANSER VERLAG,<0.1,
0002-4821,ALBERTA LAW REVIEW,UNIV ALBERTA,0.4,Q3
0002-5240,ALGEBRA UNIVERSALIS,SPRINGER BASEL AG,0.6,Q3
0002-6980,Ambix,TAYLOR & FRANCIS LTD,0.6,Q2
0002-7014,AMEGHINIANA,ASOCIACION PALEONT,1.5,Q2
0002-7162,ANNALS OF THE AMERICAN ACADEMY OF POLI,SAGE PUBLICATIONS IN,2.6,Q1
0002-726X,AMERICAN ANNALS OF THE DEAF,GALLAUDET UNIV PRES,0.9,Q4
0002-7294,AMERICAN ANTHROPOLOGIST,WILEY,1.7,Q1
0002-7316,AMERICAN ANTIQUITY,CAMBRIDGE UNIV PRES,1.9,Q1
0002-7642,AMERICAN BEHAVIORAL SCIENTIST,SAGE PUBLICATIONS IN,1.5,Q2
0002-7685,AMERICAN BIOLOGY TEACHER,NATL ASSOC BIOLOGY,0.3,Q4
0002-7766,AMERICAN BUSINESS LAW JOURNAL,WILEY,1.5,Q1
0002-7812,AMERICAN CERAMIC SOCIETY BULLETIN,AMER CERAMIC SOC,1,Q3
0002-7820,JOURNAL OF THE AMERICAN CERAMIC SOCIET,WILEY,3.8,Q1
0002-7863,Journal of the American Chemical Society,AMER CHEMICAL SOC,15.6,Q1
0002-8177,JOURNAL OF THE AMERICAN DENTAL ASSOCIA,AMER DENTAL ASSOC,3.5,Q1
0002-8282,AMERICAN ECONOMIC REVIEW,AMER ECONOMIC ASSO,11.6,Q1
0002-8312,AMERICAN EDUCATIONAL RESEARCH JOURNAL,SAGE PUBLICATIONS IN,3.6,Q1
0002-8320,TRANSACTIONS OF THE AMERICAN ENTOMOL,AMER ENTOMOL SOC,0.3,Q4
0002-838X,AMERICAN FAMILY PHYSICIAN,AMER ACAD FAMILY PH,3.5,Q1
0002-8487,TRANSACTIONS OF THE AMERICAN FISHERIES S,OXFORD UNIV PRESS,1.4,Q3
0002-8614,JOURNAL OF THE AMERICAN GERIATRICS SOCI,WILEY,4.5,Q1
0002-8703,AMERICAN HEART JOURNAL,MOSBY-ELSEVIER,3.5,Q2
0002-8711,JOURNAL OF THE AMERICAN HELICOPTER SOC,AMER HELICOPTER SOC,1.4,Q3
0002-8762,AMERICAN HISTORICAL REVIEW,OXFORD UNIV PRESS,1.2,Q1
0002-9092,AMERICAN JOURNAL OF AGRICULTURAL ECON,WILEY,3.3,Q1
0002-9122,AMERICAN JOURNAL OF BOTANY,WILEY,2.7,Q2
0002-9149,AMERICAN JOURNAL OF CARDIOLOGY,EXCERPTA MEDICA INC,2.1,Q3
0002-9157,AMERICAN JOURNAL OF CLINICAL HYPNOSIS,ROUTLEDGE JOURNALS,1.2,Q3
0002-9165,AMERICAN JOURNAL OF CLINICAL NUTRITION,ELSEVIER SCIENCE INC,6.9,Q1
0002-9173,AMERICAN JOURNAL OF CLINICAL PATHOLOGY,OXFORD UNIV PRESS IN,1.9,Q3
0002-919X,AMERICAN JOURNAL OF COMPARATIVE LAW,OXFORD UNIV PRESS IN,1,Q2
0002-9246,AMERICAN JOURNAL OF ECONOMICS AND SOC,WILEY,1,Q3
0002-9254,AMERICAN JOURNAL OF ENOLOGY AND VITICU,AMER SOC ENOLOGY V,1.8,Q2
0002-9262,AMERICAN JOURNAL OF EPIDEMIOLOGY,OXFORD UNIV PRESS IN,4.8,Q1
0002-9270,AMERICAN JOURNAL OF GASTROENTEROLOGY,LIPPINCOTT WILLIAMS,7.6,Q1
0002-9297,AMERICAN JOURNAL OF HUMAN GENETICS,CELL PRESS,8.1,Q1
0002-9300,AMERICAN JOURNAL OF INTERNATIONAL LAW,CAMBRIDGE UNIV PRES,2.3,Q1
0002-9319,AMERICAN JOURNAL OF LEGAL HISTORY,OXFORD UNIV PRESS,0.3,Q3
0002-9327,AMERICAN JOURNAL OF MATHEMATICS,JOHNS HOPKINS UNIV,1.7,Q1
0002-9343,American Journal of Medicine,ELSEVIER SCIENCE INC,5.3,Q1
0002-936X,AMERICAN JOURNAL OF NURSING,LIPPINCOTT WILLIAMS,2,Q2
0002-9378,AMERICAN JOURNAL OF OBSTETRICS AND GYN,MOSBY-ELSEVIER,8.4,Q1
0002-9394,AMERICAN JOURNAL OF OPHTHALMOLOGY,ELSEVIER SCIENCE INC,4.2,Q1
0002-9432,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,EDUCATIONAL PUBLISH,2.1,Q1
0002-9440,AMERICAN JOURNAL OF PATHOLOGY,ELSEVIER SCIENCE INC,3.6,Q1
0002-9459,AMERICAN JOURNAL OF PHARMACEUTICAL ED,ELSEVIER,3.5,Q1
0002-9505,AMERICAN JOURNAL OF PHYSICS,AIP Publishing,0.9,Q3
0002-953X,AMERICAN JOURNAL OF PSYCHIATRY,AMER PSYCHIATRIC PU,14.7,Q1
0002-9556,AMERICAN JOURNAL OF PSYCHOLOGY,UNIV ILLINOIS PRESS,0.6,Q4
0002-9564,AMERICAN JOURNAL OF PSYCHOTHERAPY,AMER PSYCHIATRIC PU,2.5,Q2
0002-9599,AMERICAN JOURNAL OF SCIENCE,AMER JOURNAL SCIENC,2.5,Q2
0002-9610,AMERICAN JOURNAL OF SURGERY,EXCERPTA MEDICA INC,2.7,Q1
0002-9629,AMERICAN JOURNAL OF THE MEDICAL SCIENC,ELSEVIER SCIENCE INC,1.8,Q2
0002-9637,AMERICAN JOURNAL OF TROPICAL MEDICINE A,AMER SOC TROP MED,1.6,Q3
0002-9726,JOURNAL OF THE AMERICAN LEATHER CHEMIS,AMER LEATHER CHEMI,0.5,Q4
0002-9890,AMERICAN MATHEMATICAL MONTHLY,TAYLOR & FRANCIS INC,0.4,Q4
0002-9947,TRANSACTIONS OF THE AMERICAN MATHEMA,AMER MATHEMATICAL,1.2,Q1
0003-0007,BULLETIN OF THE AMERICAN METEOROLOGIC,AMER METEOROLOGIC,5.9,Q1
0003-004X,AMERICAN MINERALOGIST,MINERALOGICAL SOC A,2.3,Q2
0003-0082,AMERICAN MUSEUM NOVITATES,AMER MUSEUM NATU,1.2,Q2
0003-0090,BULLETIN OF THE AMERICAN MUSEUM OF NA,AMER MUSEUM NATU,3.4,Q1
0003-0147,AMERICAN NATURALIST,UNIV CHICAGO PRESS,2.7,Q2
0003-021X,JOURNAL OF THE AMERICAN OIL CHEMISTS SO,WILEY,2.4,Q3
0003-0279,JOURNAL OF THE AMERICAN ORIENTAL SOCIET,AMER ORIENTAL SOC,0.3,
0003-049X,PROCEEDINGS OF THE AMERICAN PHILOSOPHI,AMER PHILOSOPHICAL,0.3,
0003-0554,AMERICAN POLITICAL SCIENCE REVIEW,CAMBRIDGE UNIV PRES,5.8,Q1
0003-066X,AMERICAN PSYCHOLOGIST,AMER PSYCHOLOGICAL,7.2,Q1
0003-0996,AMERICAN SCIENTIST,SIGMA XI-SCI RES SOC,0.6,Q3
0003-1062,JOURNAL OF THE AMERICAN SOCIETY FOR HO,AMER SOC HORTICULT,1.1,Q3
0003-1186,BULLETIN OF THE AMERICAN SOCIETY OF PAPY,PEETERS,0.1,
0003-1224,AMERICAN SOCIOLOGICAL REVIEW,SAGE PUBLICATIONS IN,6.2,Q1
0003-1232,AMERICAN SOCIOLOGIST,SPRINGER,1.1,Q3
0003-1305,AMERICAN STATISTICIAN,TAYLOR & FRANCIS INC,2.1,Q1
0003-1348,AMERICAN SURGEON,SAGE PUBLICATIONS IN,0.9,Q3
0003-1488,JAVMA-JOURNAL OF THE AMERICAN VETERINA,AMER VETERINARY ME,1.8,Q2
0003-150X,Journal AWWA,WILEY,0.4,Q4
0003-2409,ANAESTHESIA,WILEY,6.9,Q1
0003-2565,Annals of the Faculty of Law in Belgrade,"Univ Belgrade, Fac Law",<0.1,Q4
0003-2638,ANALYSIS,OXFORD UNIV PRESS,0.9,
0003-2654,ANALYST,ROYAL SOC CHEMISTRY,3.3,Q2
0003-2670,Analytica Chimica Acta,ELSEVIER,6,Q1
0003-2697,ANALYTICAL BIOCHEMISTRY,ACADEMIC PRESS INC E,2.5,Q3
0003-2700,ANALYTICAL CHEMISTRY,AMER CHEMICAL SOC,6.7,Q1
0003-2719,ANALYTICAL LETTERS,TAYLOR & FRANCIS INC,1.8,Q3
0003-2778,Journal of the Anatomical Society of India,WOLTERS KLUWER ME,0.2,Q4
0003-2999,ANESTHESIA AND ANALGESIA,LIPPINCOTT WILLIAMS,3.8,Q1
0003-3022,ANESTHESIOLOGY,LIPPINCOTT WILLIAMS,9.1,Q1
0003-3170,Angiologia,"ARAN EDICIONES, S A",0.2,Q4
0003-3197,ANGIOLOGY,SAGE PUBLICATIONS IN,2.2,Q3
0003-3472,ANIMAL BEHAVIOUR,ACADEMIC PRESS LTD-,2.1,Q1
0003-3790,ANNALS OF SCIENCE,TAYLOR & FRANCIS LTD,0.5,Q2
0003-3804,ANNALEN DER PHYSIK,WILEY-V C H VERLAG G,2.5,Q2
0003-3898,ANNALES DE BIOLOGIE CLINIQUE,JLE,0.4,Q4
0003-4266,ANNALES D ENDOCRINOLOGIE,MASSON EDITEUR,2.9,Q3
0003-4347,Annals of Telecommunications,SPRINGER INT PUBL AG,2.2,Q3
0003-4436,ANNALES HISTORIQUES DE LA REVOLUTION FR,SOC ETUDES ROBESPIE,0.1,Q3
0003-4487,ANNALES MEDICO-PSYCHOLOGIQUES,MASSON EDITEUR,0.5,Q4
0003-4509,Annales Pharmaceutiques Francaises,MASSON EDITEUR,1.1,Q4
0003-4541,ANNALES ZOOLOGICI,MUSEUM & INST ZOOL,0.9,Q3
0003-469X,Annali Italiani di Chirurgia,EDIZIONI LUIGI POZZI,0.5,Q4
0003-4746,ANNALS OF APPLIED BIOLOGY,WILEY,1.8,Q2
0003-4800,ANNALS OF HUMAN GENETICS,WILEY,1.2,Q4
0003-4819,ANNALS OF INTERNAL MEDICINE,AMER COLL PHYSICIAN,15.2,Q1
0003-486X,ANNALS OF MATHEMATICS,"Princeton Univ, Dept M",5.3,Q1
0003-4894,ANNALS OF OTOLOGY RHINOLOGY AND LARYN,SAGE PUBLICATIONS IN,1.2,Q3
0003-4916,Annals of Physics,ACADEMIC PRESS INC E,3,Q2
0003-4932,ANNALS OF SURGERY,LIPPINCOTT WILLIAMS,6.4,Q1
0003-4967,ANNALS OF THE RHEUMATIC DISEASES,ELSEVIER,20.6,Q1
0003-4975,ANNALS OF THORACIC SURGERY,ELSEVIER SCIENCE INC,3.9,Q1
0003-5033,ANNEE PSYCHOLOGIQUE,PRESSES UNIV FRANCE,0.6,Q4
0003-5491,ANTHROPOLOGICAL QUARTERLY,GEORGE WASHINGTON,0.6,Q3
0003-5548,ANTHROPOLOGISCHER ANZEIGER,E SCHWEIZERBARTSCH,0.5,Q3
0003-5599,ANTI-CORROSION METHODS AND MATERIALS,EMERALD GROUP PUBL,2.6,Q2
0003-5696,ANTIKE UND ABENDLAND,WALTER DE GRUYTER G,0.2,
0003-5815,Antiquaries Journal,CAMBRIDGE UNIV PRES,0.3,
0003-598X,ANTIQUITY,CAMBRIDGE UNIV PRES,1.7,Q1
0003-6072,ANTONIE VAN LEEUWENHOEK INTERNATIONA,SPRINGER,1.8,Q4
0003-6390,Apeiron-A Journal for Ancient Philosophy and S,WALTER DE GRUYTER G,0.3,
0003-6420,APERTURE,APERTURE,0.1,
0003-6811,APPLICABLE ANALYSIS,TAYLOR & FRANCIS LTD,1.2,Q2
0003-682X,APPLIED ACOUSTICS,ELSEVIER SCI LTD,3.6,Q1
0003-6838,APPLIED BIOCHEMISTRY AND MICROBIOLOGY,PLEIADES PUBLISHING I,1.1,Q4
0003-6846,APPLIED ECONOMICS,ROUTLEDGE JOURNALS,2.1,Q2
0003-6862,APPLIED ENTOMOLOGY AND ZOOLOGY,SPRINGER JAPAN KK,1.2,Q3
0003-6870,APPLIED ERGONOMICS,ELSEVIER SCI LTD,3.4,Q2
0003-6900,Applied Mechanics Reviews,ASME,16.1,Q1
0003-6951,APPLIED PHYSICS LETTERS,AIP Publishing,3.6,Q2
0003-7028,APPLIED SPECTROSCOPY,SAGE PUBLICATIONS IN,2.2,Q2
0003-7982,ARCADIA,WALTER DE GRUYTER G,0.2,
0003-813X,ARCHAEOMETRY,WILEY,1.5,Q3
0003-8504,ARCHITECTURAL DESIGN,"WILEY PERIODICALS, IN",0.2,
0003-858X,ARCHITECTURAL RECORD,MCGRAW HILL INC,<0.1,
0003-8628,Architectural Science Review,TAYLOR & FRANCIS LTD,1.9,
0003-889X,ARCHIV DER MATHEMATIK,SPRINGER BASEL AG,0.5,Q3
0003-8970,ARCHIV FUR DAS STUDIUM DER NEUEREN SPR,ERICH SCHMIDT VERLA,<0.1,
0003-925X,Journal of Food Safety and Food Quality-Archiv,M H SCHAPER GMBH C,0.2,Q4
0003-9292,ARCHIV FUR MUSIKWISSENSCHAFT,FRANZ STEINER VERLA,<0.1,
0003-9381,ARCHIV FUR REFORMATIONSGESCHICHTE-ARC,GUTERSLOHER VERLAG,<0.1,Q4
0003-9438,Archives Animal Breeding,COPERNICUS GESELLSC,1.6,Q2
0003-9527,ARCHIVE FOR RATIONAL MECHANICS AND ANA,SPRINGER,2.4,Q1
0003-9756,European Journal of Sociology-Archives Europe,CAMBRIDGE UNIV PRES,1.5,Q2
0003-9853,ARCHIVES OF AMERICAN ART JOURNAL,UNIV CHICAGO PRESS,0.1,
0003-9861,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ELSEVIER SCIENCE INC,3,Q2
0003-9888,ARCHIVES OF DISEASE IN CHILDHOOD,BMJ PUBLISHING GROU,3.2,Q1
0003-9969,ARCHIVES OF ORAL BIOLOGY,PERGAMON-ELSEVIER,2.1,Q2
0003-9985,ARCHIVES OF PATHOLOGY & LABORATORY ME,COLL AMER PATHOLOG,3.2,Q2
0003-9993,ARCHIVES OF PHYSICAL MEDICINE AND REHAB,W B SAUNDERS CO-ELS,3.7,Q1
0004-0002,ARCHIVES OF SEXUAL BEHAVIOR,SPRINGER/PLENUM PU,2.9,Q1
0004-0428,ARCHIVO ESPANOL DE ARTE,CONSEJO SUPERIOR IN,0.1,
0004-0622,ARCHIVOS LATINOAMERICANOS DE NUTRICIO,ARCHIVOS LATINOAME,0.3,Q4
0004-069X,ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EX,DE GRUYTER POLAND S,3.9,Q2
0004-0738,Archive of Mechanical Engineering,"POLSKA AKAD NAUK, P",1.1,Q4
0004-0894,AREA,WILEY,2.1,Q2
0004-0975,ARETHUSA,JOHNS HOPKINS UNIV,0.2,
0004-1254,Arhiv za Higijenu Rada i Toksikologiju-Archives,SCIENDO,1.6,Q3
0004-1327,ARIEL-A REVIEW OF INTERNATIONAL ENGLISH,JOHNS HOPKINS UNIV,0.2,
0004-1610,Arizona Quarterly,JOHNS HOPKINS UNIV,0.2,
0004-2749,ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,CONSEL BRASIL OFTAL,1.2,Q3
0004-282X,ARQUIVOS DE NEURO-PSIQUIATRIA,ASSOC ARQUIVOS NEU,1.6,Q3
0004-2927,Ars Pharmaceutica,"UNIV GRANADA, EDITO",0.4,Q4
0004-3214,ART IN AMERICA,"BRANT PUBL, INC",0.1,
0004-3249,ART JOURNAL,TAYLOR & FRANCIS INC,0.3,
0004-3389,De Arte,ROUTLEDGE JOURNALS,0.1,
0004-3648,ARTIBUS ASIAE,ARTIBUS ASIAE,0.1,
0004-3702,ARTIFICIAL INTELLIGENCE,ELSEVIER,4.6,Q2
0004-4083,ARTS OF ASIA,ARTS ASIA PUBLICATIO,<0.1,
0004-4687,ASIAN SURVEY,UNIV CALIFORNIA PRES,1.2,Q1
0004-5411,JOURNAL OF THE ACM,ASSOC COMPUTING M,2.5,Q2
0004-5632,ANNALS OF CLINICAL BIOCHEMISTRY,SAGE PUBLICATIONS IN,1,Q4
0004-6256,ASTRONOMICAL JOURNAL,IOP Publishing Ltd,5.1,Q1
0004-6264,PUBLICATIONS OF THE ASTRONOMICAL SOCIET,OXFORD UNIV PRESS,2.6,Q2
0004-6280,PUBLICATIONS OF THE ASTRONOMICAL SOCIET,IOP Publishing Ltd,7.7,Q1
0004-6337,ASTRONOMISCHE NACHRICHTEN,WILEY-V C H VERLAG G,1,Q3
0004-6361,ASTRONOMY & ASTROPHYSICS,EDP SCIENCES S A,5.8,Q1
0004-637X,ASTROPHYSICAL JOURNAL,IOP Publishing Ltd,5.4,Q1
0004-640X,ASTROPHYSICS AND SPACE SCIENCE,SPRINGER,1.5,Q3
0004-6574,ATHENAEUM-STUDI PERIODICI DI LETTERATUR,NEW PRESS SNC,0.1,
0004-8038,Ornithology,OXFORD UNIV PRESS IN,1.7,Q1
0004-8380,AUSTRALASIAN JOURNAL OF DERMATOLOGY,WILEY,1.8,Q3
0004-8402,AUSTRALASIAN JOURNAL OF PHILOSOPHY,ROUTLEDGE JOURNALS,1.4,
0004-8666,AUSTRALIAN & NEW ZEALAND JOURNAL OF OB,WILEY,1.7,Q3
0004-8674,AUSTRALIAN AND NEW ZEALAND JOURNAL OF,SAGE PUBLICATIONS LT,3.7,Q1
0004-8992,AUSTRALIAN ECONOMIC HISTORY REVIEW,WILEY,1.3,Q1
0004-900X,AUSTRALIAN ECONOMIC PAPERS,WILEY,1.7,Q2
0004-9018,Australian Economic Review,WILEY,1,Q3
0004-9158,AUSTRALIAN FORESTRY,TAYLOR & FRANCIS AU,1.2,Q3
0004-9441,AUSTRALIAN JOURNAL OF EDUCATION,SAGE PUBLICATIONS LT,2.6,Q1
0004-9468,AUSTRALIAN JOURNAL OF FRENCH STUDIES,LIVERPOOL UNIV PRESS,0.1,
0004-9530,AUSTRALIAN JOURNAL OF PSYCHOLOGY,TAYLOR & FRANCIS LTD,1.6,Q2
0004-959X,AUSTRALIAN JOURNAL OF ZOOLOGY,CSIRO PUBLISHING,0.9,Q3
0004-9611,AUSTRALIAN LAW JOURNAL,LAWBOOK CO LTD,0.3,Q3
0004-9697,AUSTRALIAN LITERARY STUDIES,UNIV QUEENSLAND AU,0.2,
0004-9727,BULLETIN OF THE AUSTRALIAN MATHEMATICA,CAMBRIDGE UNIV PRES,0.5,Q3
0005-0067,AUSTRALIAN PSYCHOLOGIST,TAYLOR & FRANCIS LTD,2,Q2
0005-0423,AUSTRALIAN VETERINARY JOURNAL,WILEY,1.7,Q2
0005-0601,AUT AUT,GRUPPO EDITORIALE S,<0.1,
0005-1055,AUTOMATIC DOCUMENTATION AND MATHEM,PLEIADES PUBLISHING I,0.5,Q4
0005-1098,AUTOMATICA,PERGAMON-ELSEVIER,5.9,Q1
0005-1144,Automatika,TAYLOR & FRANCIS LTD,1.7,Q3
0005-1179,AUTOMATION AND REMOTE CONTROL,MAIK NAUKA/INTERPE,0.6,Q4
0005-2086,AVIAN DISEASES,AMER ASSOC AVIAN PA,1.3,Q2
0005-2728,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGE,ELSEVIER,2.7,Q2
0005-2736,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBR,ELSEVIER,2.5,Q3
0005-3600,BACH,RIEMENSCHNEIDER BA,0.1,
0005-6650,Bauingenieur,VDI FACHMEDIEN GMB,0.4,Q4
0005-7894,BEHAVIOR THERAPY,ELSEVIER INC,3.8,Q1
0005-7916,JOURNAL OF BEHAVIOR THERAPY AND EXPERI,PERGAMON-ELSEVIER,2.2,Q2
0005-7959,BEHAVIOUR,BRILL,1,Q3
0005-7967,BEHAVIOUR RESEARCH AND THERAPY,PERGAMON-ELSEVIER,4.5,Q1
0005-8076,BEITRAGE ZUR GESCHICHTE DER DEUTSCHEN S,WALTER DE GRUYTER G,0.1,
0005-9366,BERLINER UND MUNCHENER TIERARZTLICHE W,SCHLUETERSCHE VERLA,0.6,Q3
0006-0887,BIBLICA,PEETERS,0.1,
0006-176X,Bibliotecas-Anales de Investigacion,BIBLIOTECA NACL CUB,0.2,Q4
0006-1999,BIBLIOTHEQUE D HUMANISME ET RENAISSANC,LIBRAIRIE DROZ SA,<0.1,
0006-2014,BIBLISCHE ZEITSCHRIFT,BRILL,<0.1,
0006-291X,BIOCHEMICAL AND BIOPHYSICAL RESEARCH CO,ACADEMIC PRESS INC E,2.2,Q3
0006-2928,BIOCHEMICAL GENETICS,SPRINGER/PLENUM PU,1.6,Q3
0006-2952,BIOCHEMICAL PHARMACOLOGY,PERGAMON-ELSEVIER,5.6,Q1
0006-2960,BIOCHEMISTRY,AMER CHEMICAL SOC,3,Q3
0006-2979,BIOCHEMISTRY-MOSCOW,MAIK NAUKA/INTERPE,2.2,Q4
0006-3088,BIOLOGIA,SPRINGER,1.6,Q3
